Salary & Tax Summary - FY 2026-2027,,,,,,
,,,,,,
ANNUAL SUMMARY,,,,,,
Description,Amount (₹),,,,,
Gross Fixed Salary,2100000,,,,,
Variable Pay,,,,,,
Basic Salary,945000,,,,,
,,,,,,
TAX-FREE COMPONENTS,,,,,,
Employer PF (Tax Exempt),113400,,,,,
Employer NPS (Sec 80CCD(2)),0,,,,,
Standard Deduction,75000,,,,,
Total Tax-Free Components,188400,,,,,
,,,,,,
TAX CALCULATION,,,,,,
Net Taxable Income,1911600,,,,,
Income Tax (New Regime),182320,,,,,
Surcharge,0,,,,,
Health & Education Cess (4%),7293,,,,,
Total Tax Payable,189613,,,,,
,,,,,,
FINAL SUMMARY,,,,,,
Total Annual CTC,2100000,,,,,
Total Tax Deducted,189613,,,,,
Net Annual In-Hand Pay,1681087,,,,,
,,,,,,
,,,,,,
MONTHLY BREAKDOWN,,,,,,
Month,Gross Salary (₹),Professional Tax (₹),Income Tax TDS (₹),PF Contribution (₹),NPS Employer (₹),Net Pay In-Hand (₹)
26-Apr,175000,208,15801,18900,0,140091
26-May,175000,208,15801,18900,0,140091
26-Jun,175000,208,15801,18900,0,140091
26-Jul,175000,208,15801,18900,0,140091
26-Aug,175000,208,15801,18900,0,140091
26-Sep,175000,208,15801,18900,0,140091
26-Oct,175000,208,15801,18900,0,140091
26-Nov,175000,208,15801,18900,0,140091
26-Dec,175000,208,15801,18900,0,140091
27-Jan,175000,208,15801,18900,0,140091
27-Feb,175000,208,15801,18900,0,140091
27-Mar,175000,208,15801,18900,0,140091
,,,,,,
ANNUAL TOTAL,2100000,2500,189613,226800,0,1681087
