COLLECTTIME,CELLID,SITE,NR_SA_Paging_Discard_Rate,NR_DL_Active_UEs,NR_UL_Active_UEs,NR_DL_MAC_Volume_MB,NR_UL_MAC_Volume_MB,NR_DL_Active_UEs_True,NR_UL_Active_UEs_True,NR_DL_RBSym_Util,NR_UL_RBSym_Util,NR_Msg2_Attempt_SR,NR_Msg2_Attempts,NR_RACH_SR,NR_RACH_Att,NR_UL_MAC_Cell_Thp_total_time_Mbps,NR_DL_MAC_Cell_Thp_total_time_Mbps,NR_DL_HARQ_BLER_256QAM,NR_DL_RLC_BLER,NR_Avg_DL_MAC_Thp_Mbps,NR_Avg_UL_MAC_UE_Thp_Mbps,NR_DL_MAC_Cell_Thp_Mbps,NR_UL_MAC_Cell_Thp_Mbps,NR_UL_HARQ_BLER_64_QAM,NR_UL_RLC_BLER,NR_UL_HARQ_BLER,NR_DL_HARQ_BLER,NR_UL_DTX_Rate,NR_DL_DTX_Rate,NR_Cell_Availability,NR_Avg_UL_PUCCH_SINR_dB,NR_Avg_UL_PUSCH_SINR_dB,NR_RANK_Below3_Rate,NR_Avg_CQI,NR_Avg_CQI_64QAM,NR_Avg_CQI_256QAM,NR_Avg_UL_Pathloss_dB,NR_Avg_UL_Power_Headroom_dB,NR_Avg_UL_Pathloss_95percentile_dB,NR_UL_RSSI,NR_Avg_MCS_Table1,NR_Avg_MCS_Table2,NR_TA,DL_Thp_Bad_Sessions,DL_Thp_Fair_Sessions,DL_Thp_Good_Sessions,DL_Thp_Excellent_Sessions,UL_Thp_Bad_Sessions,UL_Thp_Fair_Sessions,UL_Thp_Good_Sessions,UL_Thp_Excellent_Sessions,NR_Avg_UL_MAC_Thp_EBS_Mbps,NR_Avg_DL_MAC_Thp_EBS_Mbps,DL_Total_Sessions,UL_Total_Sessions,NR_Avg_DL_Latency_ms,NR_Cell_Availability_Num,NR_ENDC_Setup_Att,NR_ENDC_Setup_SR,NR_SA_RRC_ATT,NR_SA_RRC_SSSR,NR_SA_NG_Sig_SR,NR_ENDC_Inter_sgNodeB_PSCell_Change_SR,NR_ENDC_Intra_sgNodeB_PSCell_Change_SR,NR_SA_NR_to_LTE_RWR_Ratio,NR_SA_INTER_GNB_HO_SR,NR_SA_INTRA_GNB_HO_SR,NR_SA_HO_Prep_Succ_Rate,NR_SA_HO_Exec_Succ_Rate,NR_SA_HO_SR,NR_ENDC_SARR,NR_ENDC_RRC_CU_Max,NR_SA_RRC_CU_Max,NR_ENDC_RRC_CU_Avg,NR_SA_DRB_EST_SR,NR_SA_Drop_Rate,NR_SgNB_Abnormal_RR,NR_RRC_SSR,ESS_TOTAL_PRB_AVG_UTIL_DL,ESS_NR_PRB_AVG_UTIL_DL,essEnabled
20260701100000,AYT0381H_7NB01_S01,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701100000,AYT0381H_7NB01_S03,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701100000,AYT0381H_7NB01_S02,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701100000,AYT0381H_7NB01_S04,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701101500,AYT0381H_7NB01_S01,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701101500,AYT0381H_7NB01_S02,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701101500,AYT0381H_7NB01_S03,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701101500,AYT0381H_7NB01_S04,AYT0381P_9NB01,,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,37.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,1
20260701103000,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,2.958,4.827,232.463,58.331,2.521,4.602,34.242,10.069,100.0,492.0,92.276,492.0,0.544,2.167,21.254,,8.612,2.193,14.831,4.071,7.275,,4.436,11.626,5.329,3.237,33.111,5.075,18.986,100.0,8.454,,8.453,114.383,15.984,112.773,-116.185,13.503,,5.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.729,602.0,379.0,100.0,0.0,,,100.0,100.0,,,,,,,1.575,57.0,0.0,42.7,,,0.262,,52.73435571595492,21.409628238771422,1
20260701103000,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.066,1.245,9.199,9.341,0.101,0.537,6.477,2.245,100.0,88.0,68.182,88.0,0.087,0.086,28.947,,11.191,4.448,4.189,3.084,10.856,,6.119,24.128,19.783,7.939,33.0,4.943,15.083,100.0,8.381,,8.381,117.9,15.707,117.771,-116.596,11.439,,5.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,603.0,39.0,100.0,0.0,,,100.0,100.0,,,,,,,2.381,9.0,0.0,4.75,,,0.0,,19.018635992641915,2.5741878526875897,1
